Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,1.843493,1.814129,1.888345
Naive,32,0.210228,0.209957,0.210596
Naive,64,0.200702,0.200327,0.201174
Naive,128,0.201117,0.200780,0.201422
Transpose,32,0.202756,0.202394,0.203145
Transpose,64,0.183740,0.183263,0.184096
Transpose,128,0.184221,0.183884,0.184850
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,1.852610,1.842549,1.884017
Naive,32,0.210107,0.209731,0.210500
Naive,64,0.200923,0.200521,0.201440
Naive,128,0.200956,0.200617,0.201582
Naive,256,0.201324,0.200900,0.201688
Naive,512,0.201320,0.201053,0.201503
Naive,1024,0.201882,0.201563,0.202287
Transpose,32,0.203245,0.202902,0.203590
Transpose,64,0.183844,0.183410,0.184347
Transpose,128,0.184611,0.184194,0.185106
Transpose,256,0.184475,0.184077,0.185018
Transpose,512,0.184576,0.184166,0.185267
Transpose,1024,0.184656,0.184210,0.185127
Shmem,32,0.196975,0.196613,0.198049
Shmem,64,0.161356,0.161014,0.162066
Shmem,128,0.150272,0.149789,0.150572
Shmem,256,0.151641,0.151162,0.152194
Shmem,512,0.153292,0.152794,0.153752
Shmem,1024,0.167318,0.167102,0.167795
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
All_GPU,32,0.093463,0.088726,0.091838
All_GPU,64,0.053750,0.049219,0.051434
All_GPU,128,0.034921,0.030532,0.032219
All_GPU,256,0.037833,0.033257,0.035807
All_GPU,512,0.043499,0.038617,0.042593
All_GPU,1024,0.052305,0.047792,0.051826
